Order ID,Customer Name,Order Date,Product Price $,Quantity!!,Total Amount,Ship Date,Status
ORD1056,Bob Johnson,28.08.2023,339.7813783586778,10,3397.813783586778,07.09.2023,
ORD1057,Jane Doe,2023-10-06,66.35442226599926,11,729.8986449259919,08.10.2023,Cancelled
ORD1058,,2023-03-24,410.9033228007846,8,3287.226582406277,2023/03/28,
ORD1059,,10.05.2023,30.078626047543803,7,210.55038233280663,05/13/2023,Delivered
ORD1060,Jane Doe,07/18/2023,326.71349242402397,4,1306.8539696960959,23.07.2023,Cancelled
ORD1061,John Smith,05/17/2023,129.75636761906458,20,2595.1273523812915,2023/05/25,Cancelled
ORD1062,,27-08-2023,196.88326318525927,10,1968.8326318525926,2023/09/05,
ORD1063,,2023/02/18,444.8075957076568,1,444.8075957076568,2023-02-22,Pending
ORD1064,John Smith,2023-05-08,138.40166602192733,8,1107.2133281754186,2023/05/15,
ORD1065,Alice Williams,11.07.2023,226.79009830262473,2,453.58019660524945,18.07.2023,
ORD1066,Alice Williams,,126.69227903753405,4,506.7691161501362,09-01-2024,
ORD1067,Jane Doe,06-11-2023,37.09508458539523,10,370.9508458539523,11-11-2023,
ORD1068,,2023/04/12,299.5860758188112,11,3295.4468340069234,17.04.2023,Shipped
ORD1069,Alice Williams,2023-12-11,404.2894338734367,9,3638.60490486093,2023-12-16,Delivered
ORD1070,Jane Doe,27-03-2023,478.2258687838804,5,2391.129343919402,2023-04-02,Delivered
ORD1071,,25.05.2023,455.5430118762657,11,5010.973130638923,,Cancelled
ORD1072,John Smith,10/23/2023,129.2100747505865,3,387.6302242517595,,Cancelled
ORD1073,John Smith,2023/02/16,279.62012826216295,18,5033.162308718933,2023/02/23,Delivered
ORD1074,John Smith,27-10-2023,119.84329585043629,9,1078.5896626539266,29-10-2023,Shipped
ORD1075,Jane Doe,2023/07/31,429.2720383776204,9,3863.4483453985836,03.08.2023,Pending
ORD1076,Jane Doe,11.08.2023,487.5366973179026,2,975.0733946358052,2023/08/17,Shipped
ORD1077,Alice Williams,2023-06-20,48.72177792979917,17,828.2702248065858,27-06-2023,
ORD1078,,25-01-2023,498.86054873235406,16,7981.768779717665,02/03/2023,Shipped
ORD1079,John Smith,,136.10622601444635,6,816.6373560866781,2023-12-09,Shipped
ORD1080,John Smith,03/29/2023,63.87241201246445,16,1021.9585921994312,03-04-2023,
ORD1081,John Smith,10/24/2023,181.92431043299212,9,1637.318793896929,02.11.2023,Shipped
ORD1082,,2023-10-07,201.9391427663183,13,2625.208855962138,2023-10-11,Cancelled
ORD1083,,2023-12-06,148.56456409888457,2,297.12912819776915,16-12-2023,Cancelled
ORD1084,Bob Johnson,10.06.2023,261.4392325512249,12,3137.270790614699,14-06-2023,Shipped
ORD1085,Jane Doe,29.09.2023,24.952930968349484,19,474.1056883986402,,Delivered
ORD1086,John Smith,06/24/2023,140.22049196715298,18,2523.968855408754,04.07.2023,Shipped
ORD1087,Bob Johnson,15-12-2023,192.31343792335272,16,3077.0150067736436,2023/12/25,
ORD1088,,2023-02-15,430.16621396512494,2,860.3324279302499,2023-02-16,
ORD1089,Alice Williams,2023/05/15,70.17934434207683,11,771.9727877628452,05/25/2023,Cancelled
ORD1090,,05/07/2023,239.72851601998818,15,3595.9277402998227,13-05-2023,Cancelled
ORD1091,Bob Johnson,11-01-2023,210.83961346722356,18,3795.113042410024,2023/01/18,Cancelled
ORD1092,Alice Williams,03.02.2023,303.01371001686596,,0.0,07-02-2023,Shipped
ORD1093,John Smith,28.07.2023,174.9363396678488,2,349.8726793356976,03-08-2023,Shipped
ORD1094,John Smith,03.10.2023,448.1900773878365,15,6722.851160817547,06-10-2023,Pending
ORD1095,Alice Williams,02-06-2023,418.3563063563998,10,4183.563063563998,2023/06/05,
ORD1096,Jane Doe,10/26/2023,90.00720076287563,15,1350.1080114431345,2023-11-01,Pending
ORD1097,Alice Williams,2023/01/23,389.43485948217597,19,7399.262330161343,2023/01/29,Cancelled
ORD1098,Alice Williams,12.12.2023,72.46378215818501,4,289.85512863274005,19.12.2023,Pending
ORD1099,,13-04-2023,306.1224942697604,7,2142.857459888323,04/16/2023,Delivered
ORD1100,John Smith,2023/09/15,313.1973349488829,2,626.3946698977658,19-09-2023,Cancelled
ORD1101,,2023/10/19,431.36645819527786,17,7333.229789319724,24.10.2023,Cancelled
ORD1102,Alice Williams,2023-10-31,249.67490488983512,10,2496.7490488983512,06-11-2023,Delivered
ORD1103,Alice Williams,10.02.2023,304.06932974646713,1,304.06932974646713,2023/02/19,Delivered
ORD1104,Jane Doe,2023-04-04,134.44806681523096,14,1882.2729354132334,08-04-2023,Delivered
ORD1105,Jane Doe,26-10-2023,248.57236417571826,2,497.1447283514365,2023-11-05,Delivered
ORD1106,John Smith,25-11-2023,28.0203342407169,15,420.30501361075346,2023/11/30,
ORD1107,,16-10-2023,267.4092768047719,3,802.2278304143156,10/26/2023,Delivered
ORD1108,,01/03/2023,263.0051006261126,16,4208.081610017802,01/12/2023,
ORD1109,,01/28/2023,170.11190239922337,7,1190.7833167945637,2023/02/04,
ORD1110,Bob Johnson,06.04.2023,221.05187972138535,4,884.2075188855414,2023/04/11,
ORD1111,Alice Williams,10/21/2023,205.66295487125063,2,411.32590974250127,2023/10/25,Shipped
ORD1112,Bob Johnson,01.04.2023,215.50116935709596,9,1939.5105242138636,2023/04/05,Delivered
ORD1113,,25.10.2023,138.79083002151617,5,693.9541501075809,30.10.2023,
ORD1114,Bob Johnson,2023-06-02,205.95661568228076,17,3501.262466598773,,Pending
ORD1115,Alice Williams,10-02-2023,263.656004801686,5,1318.2800240084298,02/18/2023,Delivered
ORD1116,Alice Williams,28-01-2023,182.39869396131843,19,3465.57518526505,2023-01-29,Shipped
ORD1117,Bob Johnson,04-05-2023,465.0819297141622,19,8836.556664569081,09.05.2023,Shipped
ORD1118,,14.04.2023,294.7640340172559,4,1179.0561360690235,15-04-2023,Pending
ORD1119,Alice Williams,24-03-2023,117.09156761383645,1,117.09156761383645,2023/03/27,
ORD1120,Jane Doe,31.08.2023,227.02750762360125,8,1816.22006098881,09/05/2023,
ORD1121,Jane Doe,01/31/2023,31.377610739044524,,0.0,2023/02/06,
ORD1122,,2023-09-10,57.614676860023096,5,288.0733843001155,2023/09/17,Delivered
ORD1123,John Smith,28-01-2023,199.02619406595576,3,597.0785821978673,2023-01-31,Cancelled
ORD1124,Bob Johnson,10/04/2023,19.861809387302152,20,397.236187746043,2023-10-09,Pending
ORD1125,John Smith,04-01-2023,330.8862098845047,16,5294.179358152075,2023/01/13,Delivered
ORD1126,John Smith,31-05-2023,391.9727959620736,14,5487.61914346903,2023/06/06,Cancelled
ORD1127,,09-03-2023,49.06187016117003,7,343.4330911281902,,Cancelled
ORD1128,,17-01-2023,453.32830881248594,2,906.6566176249719,2023/01/26,
ORD1129,Bob Johnson,2023-11-27,454.3688093927768,13,5906.794522106099,2023-12-01,Cancelled
ORD1130,Alice Williams,28-09-2023,8102.781990035515,19,153952.8578106748,2023-10-03,Delivered
ORD1131,Jane Doe,2023/07/12,187.88731548392326,6,1127.3238929035397,07/13/2023,Cancelled
ORD1132,Bob Johnson,05-01-2023,229.72821654198853,13,2986.466815045851,2023/01/06,
ORD1133,Alice Williams,25.03.2023,407.11113490882127,7,2849.7779443617487,27.03.2023,Pending
ORD1134,,04-04-2023,441.94684302347173,7,3093.627901164302,04/10/2023,Delivered
ORD1135,John Smith,03.02.2023,316.3702536446937,10,3163.7025364469373,2023/02/10,Cancelled
ORD1136,Jane Doe,11/16/2023,413.4555985981902,2,826.9111971963804,11/17/2023,Cancelled
ORD1137,,03/08/2023,359.5815303358427,16,5753.304485373483,2023-03-16,Shipped
ORD1138,Alice Williams,19.09.2023,293.88228982159393,8,2351.0583185727514,2023/09/25,Pending
ORD1139,,14-02-2023,297.97156923140494,6,1787.8294153884297,2023-02-23,Delivered
ORD1140,,2023-03-01,410.95972328258506,13,5342.476402673606,10.03.2023,Delivered
ORD1141,Alice Williams,17-08-2023,491.03174836422164,3,1473.095245092665,22.08.2023,
ORD1142,John Smith,2023-08-30,456.4370242998032,13,5933.681315897442,2023-09-07,
ORD1143,,31.05.2023,263.9268251798428,9,2375.3414266185855,2023-06-01,
ORD1144,Jane Doe,2023-08-25,152.8808364834273,6,917.2850189005637,09/02/2023,Shipped
ORD1145,Jane Doe,2023/06/12,386.8298702606886,16,6189.277924171018,21.06.2023,
ORD1146,John Smith,2023-05-12,42.11667960031257,9,379.05011640281316,2023/05/17,
ORD1147,Jane Doe,2023/06/01,418.2396828106748,5,2091.198414053374,2023-06-04,Delivered
ORD1148,Bob Johnson,2023/09/10,269.0577391237418,1,269.0577391237418,20-09-2023,Shipped
ORD1149,John Smith,13.07.2023,327.08689459162645,15,4906.303418874397,2023-07-22,Pending
